{'algo': 'ppo',
 'device': 'cuda',
 'episode_length': 500,
 'game_name': 'olympics-running',
 'load_episode': 900,
 'load_model': False,
 'load_run': 2,
 'map': 2,
 'max_episodes': 1500,
 'render': False,
 'save_interval': 100,
 'seed': 1,
 'shuffle_map': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /dssg/home/acct-stu/stu486/OlympicsProject/rl_trainer/models/olympics-running/ppo/run2
Episode:  159 controlled agent:  1 ; Episode Return:  -144.0 ; win rate(controlled & opponent):  0.05 0.21 ; Trained episode: 11
Episode:  160 controlled agent:  1 ; Episode Return:  -475.0 ; win rate(controlled & opponent):  0.05 0.21 ; Trained episode: 11
Episode:  161 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.05 0.21 ; Trained episode: 11
Episode:  162 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.05 0.21 ; Trained episode: 11
Episode:  163 controlled agent:  1 ; Episode Return:  -346.0 ; win rate(controlled & opponent):  0.05 0.22 ; Trained episode: 11
Episode:  164 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.05 0.21 ; Trained episode: 11
Episode:  165 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.05 0.21 ; Trained episode: 11
Episode:  166 controlled agent:  1 ; Episode Return:  -373.0 ; win rate(controlled & opponent):  0.06 0.21 ; Trained episode: 11
Episode:  167 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.21 ; Trained episode: 12
Episode:  168 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.20 ; Trained episode: 12
Episode:  169 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.20 ; Trained episode: 12
Episode:  170 controlled agent:  1 ; Episode Return:  -223.0 ; win rate(controlled & opponent):  0.06 0.21 ; Trained episode: 12
Episode:  171 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.20 ; Trained episode: 12
Episode:  172 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.20 ; Trained episode: 12
Episode:  173 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.20 ; Trained episode: 12
Episode:  174 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.19 ; Trained episode: 12
Episode:  175 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.18 ; Trained episode: 12
Episode:  176 controlled agent:  1 ; Episode Return:  -449.0 ; win rate(controlled & opponent):  0.06 0.19 ; Trained episode: 12
Episode:  177 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.19 ; Trained episode: 12
Episode:  178 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.18 ; Trained episode: 12
Episode:  179 controlled agent:  1 ; Episode Return:  -204.0 ; win rate(controlled & opponent):  0.06 0.19 ; Trained episode: 12
Episode:  180 controlled agent:  1 ; Episode Return:  -249.0 ; win rate(controlled & opponent):  0.07 0.19 ; Trained episode: 12
Episode:  181 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.18 ; Trained episode: 13
Episode:  182 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.18 ; Trained episode: 13
Episode:  183 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.18 ; Trained episode: 13
Episode:  184 controlled agent:  1 ; Episode Return:  -338.0 ; win rate(controlled & opponent):  0.06 0.19 ; Trained episode: 13
Episode:  185 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.18 ; Trained episode: 13
Episode:  186 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.18 ; Trained episode: 13
Episode:  187 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.18 ; Trained episode: 13
Episode:  188 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.18 ; Trained episode: 13
Episode:  189 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.18 ; Trained episode: 13
Episode:  190 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.18 ; Trained episode: 13
Episode:  191 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.17 ; Trained episode: 13
Episode:  192 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.17 ; Trained episode: 13
