{'algo': 'ppo',
 'device': 'cuda',
 'episode_length': 500,
 'game_name': 'olympics-running',
 'load_episode': 900,
 'load_model': False,
 'load_run': 2,
 'map': 5,
 'max_episodes': 1500,
 'render': False,
 'save_interval': 100,
 'seed': 1,
 'shuffle_map': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /dssg/home/acct-stu/stu486/OlympicsProject/rl_trainer/models/olympics-running/ppo/run5
Episode:  145 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.12 0.10 ; Trained episode: 13
Episode:  146 controlled agent:  1 ; Episode Return:  -447.0 ; win rate(coFntrolled & opponent):  0.12 0.11 ; Trained episode: 13
Episode:  147 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.12 0.11 ; Trained episode: 13
Episode:  148 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.12 0.11 ; Trained episode: 13
Episode:  149 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.12 0.11 ; Trained episode: 13
Episode:  150 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.11 ; Trained episode: 13
Episode:  151 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.11 ; Trained episode: 13
Episode:  152 controlled agent:  1 ; Episode Return:  -295.0 ; win rate(coFntrolled & opponent):  0.11 0.12 ; Trained episode: 13
Episode:  153 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.12 ; Trained episode: 13
Episode:  154 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.12 ; Trained episode: 13
Episode:  155 controlled agent:  1 ; Episode Return:  -309.0 ; win rate(coFntrolled & opponent):  0.11 0.12 ; Trained episode: 13
Episode:  156 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.12 ; Trained episode: 14
Episode:  157 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.12 ; Trained episode: 14
Episode:  158 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.12 ; Trained episode: 14
Episode:  159 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.11 ; Trained episode: 14
Episode:  160 controlled agent:  1 ; Episode Return:  -215.0 ; win rate(coFntrolled & opponent):  0.10 0.12 ; Trained episode: 14
Episode:  161 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.12 ; Trained episode: 14
